
Interval size: 0.05
0.00	 1.000000
0.05	 0.982134
0.10	 0.965583
0.15	 0.950700
0.20	 0.937796
0.25	 0.927131
0.30	 0.918918
0.35	 0.913318
0.40	 0.910442
0.45	 0.910352
0.50	 0.913060
0.55	 0.918535
0.60	 0.926706
0.65	 0.937466
0.70	 0.950679
0.75	 0.966185
0.80	 0.983805
0.85	 1.003352
0.90	 1.024628
0.95	 1.047435
1.00	 1.071578
1.05	 1.096866
1.10	 1.123115
1.15	 1.150154
1.20	 1.177820
1.25	 1.205963
1.30	 1.234447
1.35	 1.263147
1.40	 1.291950
1.45	 1.320756
1.50	 1.349476
1.55	 1.378031
1.60	 1.406352
1.65	 1.434379
1.70	 1.462061
1.75	 1.489354
1.80	 1.516221
1.85	 1.542632
1.90	 1.568560
1.95	 1.593985
2.00	 1.618891
2.05	 1.643266
2.10	 1.667100
2.15	 1.690387
2.20	 1.713125
2.25	 1.735311
2.30	 1.756948
2.35	 1.778036
2.40	 1.798580
2.45	 1.818586
2.50	 1.838058
2.55	 1.857005
2.60	 1.875435
2.65	 1.893355
2.70	 1.910775
2.75	 1.927705
2.80	 1.944153
2.85	 1.960130
2.90	 1.975646
2.95	 1.990711
3.00	 2.005335
3.05	 2.019529
3.10	 2.033304
3.15	 2.046669
3.20	 2.059635
3.25	 2.072212
3.30	 2.084409
3.35	 2.096238
3.40	 2.107707
3.45	 2.118827
3.50	 2.129606
3.55	 2.140054
3.60	 2.150180
3.65	 2.159993
3.70	 2.169502
3.75	 2.178716
3.80	 2.187641
3.85	 2.196288
3.90	 2.204664
3.95	 2.212776
4.00	 2.220633
4.05	 2.228241
4.10	 2.235608
4.15	 2.242742
4.20	 2.249648
4.25	 2.256333
4.30	 2.262805
4.35	 2.269069
4.40	 2.275132
4.45	 2.280999
4.50	 2.286677
4.55	 2.292171
4.60	 2.297487
4.65	 2.302630
4.70	 2.307605
4.75	 2.312418
4.80	 2.317074
4.85	 2.321576
4.90	 2.325931
4.95	 2.330142
5.00	 2.334214
5.05	 2.338151
